Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
NA08 - Verify Customer Name – Special characters are not allowed,N2-80,10322,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:07 PM,13/Mar/23 10:07 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran

name: phu. (dot)

email: [tranphu05@gmail.com|mailto:tranphu05@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-150544.png|width=883,height=478!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:07 PM;62b44cfd5479e75d631d6f97;image-20230313-150544.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10010/image-20230313-150544.png,can still enter the normal Special characters,,,,,,,,,,BAN-8,New Customer,,,"error message ""Name cannot enter Special characters""",,,,,0|i000ty:zzzzzr,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Name field a Special characters.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA07 - Verify Customer Name – Numbers are not allowed,N2-79,10321,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 10:04 PM,13/Mar/23 10:04 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran

name: phu1

email: [tranphu051120011@gmail.com|mailto:tranphu051120011@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-150320.png|width=863,height=470!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 10:04 PM;62b44cfd5479e75d631d6f97;image-20230313-150320.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10009/image-20230313-150320.png,can still enter the normal number,,,,,,,,,,BAN-8,New Customer,,,"error message ""Name cannot enter number""",,,,,0|i000ty:zzzzzi,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer Name field a number.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA05 - Verify Customer SurName – First character cannot have space,N2-78,10320,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 9:48 PM,13/Mar/23 11:18 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname:  tran(First character have space)

name: phu

email: [tranphu01@gmail.com|mailto:tranphu0511@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-145002.png|width=966,height=473!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 9:50 PM;62b44cfd5479e75d631d6f97;image-20230313-145002.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10008/image-20230313-145002.png,"You can still enter the first character with a space, but when you log in, the first space is automatically lost.",,,,,,,,,,BAN-8,New Customer,,,"error message ""surname First character cannot have space""",,,,,0|i000ty:zzzzy,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer SurName First character have space.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA04 - Verify Customer SurName – Customer name must not be blank,N2-77,10319,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 9:42 PM,13/Mar/23 11:18 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: (blank)

name: phu

email: [tranphu0@gmail.com|mailto:tranphu0@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-144349.png|width=880,height=470!",,,,,,,,,,,,,,13/Mar/23 9:44 PM;62b44cfd5479e75d631d6f97;image-20230313-144349.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10007/image-20230313-144349.png,can still register the normal,,,,,,,,,,BAN-8,New Customer,,,"error message ""surname must not be blank""",,,,,0|i000ty:zzzzx,,N2 Sprint 1,,,,,,,,Unit,"1) Blank the Customer SurName field.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA03 - Verify Customer SurName – Special characters are not allowed,N2-76,10318,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 9:37 PM,13/Mar/23 11:18 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran@

name: phu

email: [tranphu0511@gmail.com|mailto:tranphu0511@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-143842.png|width=866,height=468!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 9:39 PM;62b44cfd5479e75d631d6f97;image-20230313-143842.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10006/image-20230313-143842.png,can still enter the normal Special characters,,,,,,,,,,BAN-8,New Customer,,,"error message ""surname cannot enter Special characters""",,,,,0|i000ty:zzzzv,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer SurName field a Special characters.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA02 - Verify Customer SurName – Numbers are not allowed,N2-75,10317,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 9:14 PM,13/Mar/23 11:18 PM,15/Mar/23 9:27 PM,,,0,NewCustomer,"surname: tran1

name: phu

email: [tranphu3@gmail.com|mailto:tranphu3@gmail.com]

password: phu12

re-enter the password: phu12

!image-20230313-143151.png|width=872,height=474!",,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,13/Mar/23 9:34 PM;62b44cfd5479e75d631d6f97;image-20230313-143151.png;https://nguyenthanhluan.atlassian.net/secure/attachment/10005/image-20230313-143151.png,can still enter the normal number,,,,,,,,,,BAN-8,New Customer,,,"error message ""surname cannot enter number""",,,,,0|i000ty:zzzzr,,N2 Sprint 1,,,,,,,,Unit,"1) Enter in the Customer SurName field a number.
2) Press the confirm button register
3) Check the error message displayed on the user interface.",Fail,,,To Do
NA03 - Verify Customer SurName – Numbers are not allowed,N2-74,10316,Story,Done,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,Done,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,13/Mar/23 9:12 PM,13/Mar/23 9:12 PM,15/Mar/23 9:27 PM,13/Mar/23 9:12 PM,,0,,,,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ty:zzzzi,,,,,,,,,,,,,,,Done
SC - verify to the top- after clicking on the red arrow the page will run to the top,N2-73,10315,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:54 PM,13/Mar/23 11:33 PM,15/Mar/23 9:27 PM,,,0,tothetop,after clicking on the red arrow the page will run to the top,,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,trang  chạy lên trên,,,,,,,,,,,,,,trang sẽ chạy lên trên,,,,,0|i000yn:,,N2 Sprint 3,,,,,,,,Integration,nhấn vào hình mũi tên lên,Pass,,,To Do
SC - verify contact - after clicking on the social network icons on the right will contact the admin that way,N2-72,10314,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:51 PM,13/Mar/23 11:33 PM,15/Mar/23 9:27 PM,,,0,contact,after clicking on the social network icons on the right will contact the admin that way,,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,liên hệ với người bán theo cách đó ,,,,,,,,,,,,,,liên hệ với người bán theo cách đó ,,,,,0|i000yf:,,N2 Sprint 3,,,,,,,,Integration,nhấn vào cáic icon mạng xã hội ,Pass,,,To Do
SC - verify contact - after clicking on the phone picture on the page will call admin,N2-71,10313,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:47 PM,13/Mar/23 11:34 PM,15/Mar/23 9:27 PM,,,0,contact,after clicking on the phone picture on the page will call admin,,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,system display : liên hệ cho admin ,,,,,,,,,,,,,,system display : liên hệ cho admin ,,,,,0|i000ty:zzzz,,N2 Sprint 3,,,,,,,,Integration,nhấn vào hình hiện thoại ,Pass,,,To Do
"SC - verify shopping cart - if you press continue to buy, you will return to the homepage",N2-67,10309,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:36 PM,13/Mar/23 11:33 PM,15/Mar/23 9:27 PM,,,0,shoppingcart,"if you press continue to buy, you will return to the homepage",,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,system display : ' trở về trang chủ ' ,,,,,,,,,,,,,,system display : ' trở về trang chủ ' ,,,,,0|i000xz:,,N2 Sprint 3,,,,,,,,Integration,click vào tiếp tục mua hàng ,Pass,,,To Do
"SC - verify payment - if you leave the boxes blank in the payment, a message will appear that you need to enter all information",N2-66,10308,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:33 PM,13/Mar/23 11:33 PM,15/Mar/23 9:27 PM,,,0,payment,"if you leave the boxes blank in the payment, a message will appear that you need to enter all information",,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,"system display ' vui lòng nhập tỉnh, quận huyện, phường xã'",,,,,,,,,,,,,,system display ' bạn cần nhập đầy đủ thông tin ',,,,,0|i000xr:,,N2 Sprint 3,,,,,,,,Integration,bỏ trống họ tên và số điện thoại ,Fail,,,To Do
IPF28 - Verify If correcting the number of products in the cart,N2-65,10307,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,06/Jan/23 4:31 PM,06/Jan/23 4:31 PM,15/Mar/23 9:27 PM,,,0,EditProduct,,,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,"- The number of products changes
- The total amount also changes according to the quantity (Product price * quantity)",,,,,,,,,,,,,,"- The number of products changes
- The total amount also changes according to the quantity (Product price * quantity)",,,,,0|i000ty:zzzv,,N2 Sprint 2,,,,,,,,Integration,1) Click to edit the number of products in the cart,Pass,,,To Do
SC - verify payment - clicking on the payment box will go to the payment page for the user to enter full shipping information,N2-64,10306,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:29 PM,13/Mar/23 11:34 PM,15/Mar/23 9:27 PM,,,0,payment,clicking on the payment box will go to the payment page for the user to enter full shipping information,,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,system display : ' đi đến trang thanh toán để nhập thông tin ',,,,,,,,,,,,,,system display : ' đi đến trang thanh toán để nhập thông tin ',,,,,0|i000xj:,,N2 Sprint 3,,,,,,,,Integration,click vào ô thanh toán,Pass,,,To Do
IPF27 - Verify If you click on the button to delete the product in the cart,N2-63,10305,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,06/Jan/23 4:28 PM,06/Jan/23 4:28 PM,15/Mar/23 9:27 PM,,,0,DeleteProducts,,,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,- the product to be removed has been removed from the cart,,,,,,,,,,,,,,- the product to be removed has been removed from the cart,,,,,0|i000ty:zzzr,,N2 Sprint 2,,,,,,,,Integration,1) press the button to delete the product in the cart,Pass,,,To Do
"SC -  verify shopping cart - if you click to change the quantity of each product or add and delete products in the cart, the total amount will be updated",N2-62,10304,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,ngocduong123nhox,62995be6a0eafd0069e9a3ab,ngocduong123nhox,62995be6a0eafd0069e9a3ab,06/Jan/23 4:25 PM,13/Mar/23 11:34 PM,15/Mar/23 9:27 PM,,,0,shoppingcart," if you click to change the quantity of each product or add and delete products in the cart, the total amount will be updated",,ngocduong123nhox,,62995be6a0eafd0069e9a3ab,,,,,,,,,,,system display : ' tổng tiền thay đổi ',,,,,,,,,,,,,,system display : ' tổng tiền thay đổi ',,,,,0|i000xb:,,N2 Sprint 3,,,,,,,,Integration,click vào ô thay đổi số lượng ,Pass,,,To Do
IPF26 - Verify Add Product If the products are the same,N2-61,10303,Story,To Do,N2,N2_CD21CT6,software,Luân Nguyễn,629ea81a4e1a640070c2c30a,,Medium,,,,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,Phú Em Trần Thanh,62b44cfd5479e75d631d6f97,06/Jan/23 4:24 PM,06/Jan/23 4:24 PM,15/Mar/23 9:27 PM,,,0,addcart,,,Phú Em Trần Thanh,,62b44cfd5479e75d631d6f97,,,,,,,,,,,Increase the number of products in the database and cart,,,,,,,,,,,,,,Increase the number of products in the database and cart,,,,,0|i000ty:zzzi,,N2 Sprint 2,,,,,,,,Integration,1) Add to cart 2 or more identical products,Pass,,,To Do
